"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,63.77,27.18,66.81,650.00,210.44,3.45,3.62,80.33,19.10,3.65,29.46,75.97,7.30,3.92,145.32,83.99,73.52,46.00,95.02,0.00,6.88,79.03,0.00,6.39,0.00,84.71,4.41,19.68,152.94,0.00,65.88,65.47,0.00,22.46,165.66,117.16,165.73,0.00,69.40,34.57,27.20,43.45,47.71,0.00,0.00,0.00,0.00,76.33,61.51,100.42,107.48,20.34,11.49,15.26,15.16,5.06
2.00,72.99,29.81,66.81,650.00,210.44,3.45,3.62,78.08,19.10,3.65,29.46,73.08,7.30,3.92,145.32,81.38,70.78,45.20,95.02,0.00,6.88,79.03,0.00,6.39,0.00,66.74,4.41,17.52,149.22,0.00,56.92,0.00,0.00,20.73,130.59,168.65,130.63,0.00,67.36,61.84,54.71,44.11,47.71,0.00,0.00,0.00,0.00,76.33,20.73,109.68,105.32,20.34,11.49,15.26,15.16,5.06
3.00,76.28,29.81,66.81,650.00,210.44,3.45,3.62,77.72,19.10,3.65,29.46,74.91,7.30,3.92,145.32,85.04,70.33,46.80,95.02,0.00,6.88,79.03,0.00,6.39,0.00,66.57,4.41,17.48,148.50,0.00,38.82,0.00,0.00,38.82,162.64,131.01,162.70,0.00,0.00,62.18,55.99,44.15,47.71,0.00,0.00,0.00,0.00,76.33,58.02,72.45,106.80,20.34,11.49,15.26,15.16,5.06
4.00,76.15,29.81,66.81,650.00,210.44,3.45,3.62,75.69,19.10,3.65,29.46,72.15,7.30,3.92,145.32,84.43,67.86,46.00,95.02,0.00,6.88,79.03,0.00,6.39,0.00,62.21,4.41,16.48,145.24,0.00,20.73,0.00,0.00,54.05,140.80,162.51,140.85,0.00,0.00,62.18,55.35,44.13,47.71,0.00,0.00,0.00,0.00,85.00,20.73,109.68,105.56,20.34,11.49,15.26,15.16,5.06
5.00,73.66,29.81,66.81,650.00,210.44,3.45,3.62,75.60,19.10,3.65,29.46,70.58,7.30,3.92,145.32,82.49,67.74,44.92,95.02,0.00,6.88,79.03,0.00,6.39,0.00,56.69,4.41,15.21,145.08,0.00,63.84,0.00,0.00,39.78,175.03,80.83,175.09,0.00,0.00,66.67,48.36,50.00,47.71,0.00,0.00,0.00,0.00,85.00,70.52,85.30,104.05,20.34,11.49,10.77,19.65,5.06
6.00,76.22,29.81,66.81,650.00,210.44,3.45,3.62,70.09,19.10,3.65,29.46,69.61,7.30,3.92,145.32,81.92,61.01,44.81,95.02,0.00,6.88,79.03,0.00,6.39,0.00,55.27,4.41,14.88,145.08,0.00,26.94,0.00,0.00,26.94,175.30,80.83,175.36,0.00,0.00,64.21,56.43,44.17,47.71,0.00,0.00,0.00,0.00,83.08,102.41,45.23,104.02,20.34,11.49,10.77,19.65,5.06
7.00,73.18,29.81,66.81,650.00,210.44,3.45,3.62,71.03,19.10,3.65,29.46,70.54,7.30,3.92,145.32,81.48,62.15,46.68,95.02,0.00,6.88,79.03,0.00,6.39,0.00,49.91,4.41,13.64,145.08,0.00,37.60,0.00,48.67,37.60,183.28,196.19,0.00,0.00,0.00,61.84,53.62,39.68,47.71,0.00,0.00,0.00,0.00,51.74,20.73,109.68,104.52,20.34,11.49,15.26,15.16,5.06
8.00,76.09,29.81,66.81,650.00,210.44,3.45,3.62,75.87,19.10,3.65,29.46,77.82,7.30,3.92,145.32,82.26,68.08,46.81,95.02,0.00,6.88,79.03,0.00,6.39,0.00,66.15,4.41,17.38,145.10,0.00,38.06,0.00,20.73,38.06,183.28,130.54,0.00,0.00,0.00,61.84,61.20,44.45,47.71,0.00,0.00,0.00,0.00,26.94,109.73,20.83,107.78,20.34,11.49,15.26,15.16,5.06
9.00,75.29,29.81,66.81,650.00,210.44,3.45,3.62,72.19,19.10,3.65,29.46,76.34,7.30,3.92,145.32,82.06,63.58,46.77,95.02,0.00,6.88,79.03,0.00,6.39,0.00,57.16,4.41,15.31,145.08,0.00,55.40,0.00,20.73,20.73,157.40,136.42,157.45,0.00,0.00,62.18,55.12,44.12,47.71,0.00,0.00,0.00,0.00,20.73,109.73,26.74,107.61,20.34,11.49,15.26,15.16,5.06
10.00,75.20,29.81,66.81,650.00,210.44,3.45,3.62,71.69,19.10,3.65,29.46,78.13,7.30,3.92,145.32,81.97,62.97,45.98,95.02,0.00,6.88,79.03,0.00,6.39,0.00,57.03,4.41,15.28,145.08,0.00,31.91,0.00,33.04,31.91,160.10,136.42,160.16,0.00,0.00,62.18,54.82,44.12,47.71,0.00,0.00,0.00,0.00,20.73,109.73,0.00,108.41,20.34,11.49,15.26,15.16,5.06
