"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
1.00,0.00,20.99,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,11.00,13.56,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,28.50,78.50,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,130.30,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.50,13.00,9.45,0.00,0.75,106.90,108.30,14.50,10.50,0.00,97.90,116.00,0.00,1.44,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
2.00,0.00,21.63,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,11.17,15.76,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,28.30,77.50,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,127.90,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.30,12.80,9.45,0.00,0.75,104.20,106.10,14.00,10.10,0.00,96.10,109.00,0.00,1.44,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
3.00,0.00,21.78,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,11.39,18.82,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,28.20,76.20,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,121.70,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.00,12.80,9.45,0.00,0.74,100.70,103.60,13.30,9.50,0.00,91.00,102.00,0.00,1.44,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
4.00,0.00,21.59,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,11.62,22.18,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,27.80,74.90,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,115.40,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.20,12.80,9.45,0.00,0.74,97.20,101.10,12.70,8.90,0.00,85.90,96.00,0.00,1.44,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
5.00,0.00,21.88,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,11.83,25.25,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,27.40,71.70,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,111.10,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.10,12.70,9.45,0.00,0.74,93.10,97.90,12.10,8.30,0.00,80.20,90.00,0.00,1.44,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
6.00,0.00,21.86,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,12.01,27.45,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,26.40,68.50,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,106.80,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.10,12.50,9.45,0.00,0.74,89.10,94.60,11.50,7.80,0.00,74.60,85.00,0.00,1.44,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
7.00,0.00,21.73,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,12.35,26.81,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,25.50,65.40,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,92.10,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.20,12.60,9.45,0.00,0.74,84.30,90.60,10.80,7.10,0.00,69.90,79.00,0.00,1.44,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
8.00,0.00,21.99,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,13.11,25.43,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,24.00,62.40,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,77.40,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.20,12.40,9.45,0.00,0.74,79.40,86.60,10.00,6.40,0.00,65.20,73.00,0.00,1.44,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
9.00,0.00,22.00,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,13.87,24.04,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,22.90,58.00,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,65.80,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.20,12.40,9.45,0.00,0.74,73.90,82.80,9.20,5.90,0.00,62.80,67.00,0.00,1.40,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
10.00,0.00,22.41,0.00,19.00,4.50,7.30,3.60,8.00,1.90,0.40,3.50,19.00,0.00,0.00,4.00,6.60,14.21,23.41,0.00,3.50,8.00,2.70,10.00,17.78,4.00,6.50,1.40,0.00,21.80,53.60,2.50,0.00,5.00,17.20,0.00,14.49,0.00,0.60,4.50,5.00,5.20,1.10,54.20,7.50,6.50,2.50,10.70,8.04,5.80,2.20,15.20,12.30,9.45,0.00,0.73,68.40,79.10,8.40,5.30,0.00,60.50,61.00,0.00,1.44,0.00,0.00,11.00,0.00,17.69,0.00,0.00,0.00
