"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,68.32,28.14,66.81,594.78,192.56,4.77,5.00,49.16,18.35,1.84,20.02,50.36,7.09,3.81,109.01,41.39,27.56,0.00,84.34,0.00,6.05,59.28,0.00,6.39,0.00,94.99,3.90,19.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.84,0.00,0.00,0.00,0.00,22.18,60.00,30.04,11.22,0.00,11.22,20.73,20.73,0.00,20.73,12.84,10.17,20.30,21.99,0.00,0.00
2.00,68.32,28.14,66.81,594.78,192.56,4.77,5.00,72.26,18.35,1.84,20.02,50.36,7.09,3.81,109.01,42.72,55.80,18.00,84.34,0.00,6.05,59.28,0.00,6.39,0.00,94.99,3.90,19.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.62,0.00,0.00,0.00,52.85,39.48,60.00,30.04,11.22,0.00,11.22,20.73,20.73,0.00,20.73,20.84,10.17,20.30,11.00,10.98,0.00
3.00,68.32,28.14,66.81,594.78,192.56,4.77,5.00,99.65,18.35,1.84,20.02,50.36,7.09,3.81,109.01,43.82,89.29,4.15,84.34,15.53,6.05,59.28,0.00,6.39,0.00,50.26,3.90,12.96,0.00,0.00,67.18,56.98,67.55,20.73,0.00,193.69,0.00,0.00,0.00,45.00,44.36,37.82,30.04,0.00,11.22,11.22,0.00,29.10,0.00,20.73,24.80,10.17,20.30,11.00,10.98,0.00
4.00,72.37,29.81,66.81,594.78,192.56,4.77,5.00,109.84,18.35,1.84,20.02,50.36,7.09,3.81,109.01,48.90,101.75,4.15,84.34,15.53,6.05,59.28,0.00,6.39,0.00,79.46,3.90,19.68,0.00,0.00,21.71,66.77,67.55,59.13,0.00,195.85,0.00,0.00,0.00,45.00,51.18,41.26,30.04,16.90,16.88,16.88,0.00,26.94,0.00,20.73,42.48,10.17,20.30,11.00,10.98,0.00
5.00,72.37,29.81,66.81,594.78,192.56,4.77,5.00,109.84,18.35,1.84,20.02,57.10,7.09,3.81,109.01,57.20,101.75,18.00,84.34,15.53,6.05,59.28,0.00,6.39,0.00,79.46,3.90,19.68,0.00,0.00,67.18,66.77,67.55,51.66,0.00,193.09,66.84,0.00,0.00,61.84,54.10,38.34,30.04,26.47,26.37,26.36,0.00,20.73,109.73,20.73,65.77,10.17,20.30,11.00,10.98,0.00
6.00,72.37,29.81,66.81,594.78,192.56,4.77,5.00,109.84,18.35,1.84,20.02,56.85,7.09,3.81,109.01,58.39,101.75,25.44,84.34,15.53,6.05,59.28,0.00,6.39,0.00,79.46,3.90,19.68,0.00,0.00,67.18,66.77,67.55,67.00,0.00,150.82,101.78,0.00,0.00,61.84,54.10,38.34,30.04,28.44,28.33,28.32,23.66,23.66,79.96,78.19,66.07,10.17,20.30,21.99,0.00,0.00
7.00,72.37,29.81,66.81,594.78,192.56,4.77,5.00,109.84,18.35,1.84,20.02,56.98,7.09,3.81,109.01,59.73,101.75,18.00,84.34,15.53,6.05,59.28,0.00,6.39,0.00,79.46,3.90,19.68,0.00,0.00,67.18,66.77,67.55,25.57,0.00,143.58,116.83,0.00,67.36,61.84,53.88,40.75,30.04,30.52,30.41,30.40,20.73,20.73,109.73,109.69,65.97,10.17,20.30,11.00,10.98,0.00
8.00,69.41,28.59,66.81,594.78,192.56,4.77,5.00,73.27,18.35,1.84,20.02,50.36,7.09,3.81,109.01,28.73,57.04,0.00,84.34,15.53,6.05,59.28,0.00,6.39,0.00,44.44,3.90,11.62,0.00,145.08,57.39,66.77,67.55,20.73,0.00,73.21,0.00,0.00,0.00,0.00,38.91,43.84,30.04,15.61,15.60,15.60,20.73,85.00,0.00,63.19,10.36,10.17,20.30,21.99,0.00,0.00
9.00,72.37,29.81,66.81,594.78,192.56,4.77,5.00,109.84,18.35,1.84,20.02,50.36,7.09,3.81,109.01,41.64,101.75,0.00,84.34,15.53,6.05,59.28,0.00,6.39,0.00,79.46,3.90,19.68,0.00,0.00,67.18,66.77,67.55,41.12,0.00,73.21,0.00,0.00,0.00,0.00,57.39,39.86,30.04,30.29,30.18,30.17,58.44,20.73,0.00,62.80,10.36,10.17,20.30,11.00,10.98,0.00
10.00,72.37,29.81,66.81,594.78,192.56,4.77,5.00,109.84,18.35,1.84,20.02,50.36,7.09,3.81,109.01,33.32,101.75,0.00,84.34,15.53,6.05,59.28,0.00,6.39,0.00,79.46,3.90,19.68,0.00,0.00,20.73,66.77,67.55,67.00,0.00,73.21,0.00,0.00,0.00,0.00,47.69,43.98,30.04,30.52,30.41,30.40,78.09,20.73,0.00,73.58,10.36,10.17,20.30,21.99,0.00,0.00
11.00,72.37,29.81,66.81,594.78,192.56,4.77,5.00,109.84,18.35,1.84,20.02,50.36,7.09,3.81,109.01,31.09,101.75,0.00,84.34,15.53,6.05,59.28,16.00,6.39,0.00,79.46,3.90,19.68,0.00,0.00,65.52,65.11,65.89,42.44,0.00,73.21,0.00,0.00,0.00,0.00,43.09,45.33,30.04,19.70,19.66,19.66,38.52,55.78,0.00,20.73,10.36,10.17,20.30,11.00,10.98,0.00
12.00,72.37,29.81,66.81,594.78,192.56,4.77,5.00,109.84,18.35,1.84,20.02,50.36,7.09,3.81,109.01,30.56,101.75,0.00,84.34,15.53,6.05,59.28,36.00,6.39,0.00,79.46,3.90,19.68,0.00,0.00,60.87,0.00,67.55,67.00,0.00,73.21,0.00,0.00,0.00,0.00,49.08,44.98,30.04,15.28,15.27,0.00,74.46,20.73,0.00,0.00,10.36,10.17,20.30,11.00,10.98,0.00
13.00,72.37,29.81,66.81,594.78,192.56,4.77,5.00,107.82,18.35,1.84,20.02,50.36,7.09,3.81,109.01,21.37,99.28,0.00,84.34,15.53,6.05,59.28,36.00,6.39,0.00,61.98,3.90,15.65,0.00,0.00,63.84,0.00,64.20,63.67,0.00,73.21,0.00,0.00,0.00,0.00,40.91,49.92,30.04,0.00,10.36,0.00,20.73,20.73,0.00,73.58,10.36,10.17,20.30,21.99,0.00,0.00
14.00,66.10,29.81,66.81,594.78,192.56,4.77,5.00,106.48,18.35,1.84,20.02,50.36,7.09,3.81,109.01,22.85,97.64,0.00,84.34,15.53,6.05,59.28,36.00,6.39,0.00,62.87,3.90,15.86,0.00,0.00,63.84,0.00,64.20,63.67,0.00,73.21,0.00,0.00,0.00,0.00,31.92,44.65,30.04,0.00,0.00,0.00,66.32,20.73,0.00,0.00,10.36,10.17,20.30,11.00,10.98,0.00
15.00,47.51,29.81,66.81,594.78,192.56,4.77,5.00,98.21,18.35,1.84,20.02,50.36,7.09,3.81,109.01,22.59,87.52,33.75,84.34,15.53,6.05,59.28,56.00,6.39,0.00,51.34,3.90,13.21,0.00,0.00,63.84,0.00,64.20,63.67,0.00,73.21,0.00,0.00,0.00,0.00,0.00,29.49,30.04,0.00,0.00,0.00,0.00,20.73,0.00,63.19,10.36,10.17,20.30,11.00,10.98,0.00
16.00,51.22,29.81,66.81,594.78,192.56,4.77,5.00,101.57,18.35,1.84,20.02,50.36,7.09,3.81,109.01,25.96,91.64,4.15,84.34,15.53,6.05,59.28,56.00,6.39,0.00,51.39,3.90,13.22,0.00,0.00,63.84,0.00,64.20,63.67,0.00,73.21,0.00,0.00,0.00,0.00,0.00,41.45,30.04,0.00,0.00,0.00,0.00,54.92,0.00,26.94,10.36,10.17,20.30,11.00,10.98,0.00
17.00,51.36,29.81,66.81,594.78,192.56,4.77,5.00,101.28,18.35,1.84,20.02,50.36,7.09,3.81,109.01,28.15,91.28,4.15,84.34,15.53,6.88,59.28,56.00,6.39,0.00,50.16,3.90,12.93,0.00,0.00,63.84,0.00,64.20,63.67,0.00,73.21,0.00,0.00,0.00,0.00,0.00,41.45,30.04,0.00,0.00,0.00,0.00,54.92,0.00,26.94,10.36,10.17,20.30,11.00,10.98,0.00
18.00,73.38,29.81,66.81,594.78,192.56,4.77,5.00,109.84,18.35,1.84,20.02,50.36,7.09,3.81,109.01,52.39,101.75,31.37,84.34,15.53,6.88,59.28,56.00,6.39,0.00,79.46,3.90,19.68,0.00,0.00,67.18,0.00,67.55,42.35,0.00,82.66,0.00,0.00,0.00,35.65,49.65,44.01,30.04,0.00,15.57,15.57,21.71,20.73,0.00,95.29,34.46,10.17,20.30,11.00,10.98,0.00
