"ETAPA \ GENERADOR","KALLPATG1GAS","KALLPATG2GAS","KALLPATG3GAS","KALLPACC1GAS","KALLPACC2GAS","KALLPACC3GAS","KALLPACC12GAS","KALLPACC23GAS","KALLPACC13GAS","KALLPACC123GAS","CHILCA1TG1GAS","CHILCA1TG2GAS","CHILCA1TG3GAS","CHILCA1CC1GAS","CHILCA1CC2GAS","CHILCA1CC3GAS","CHILCA1CC12GAS","CHILCA1CC23GAS","CHILCA1CC13GAS","CHILCA1CC123GAS","AGETG1GAS","AGETG2GAS","MAL2TGN4GAS","MAL3TG5D2","VENT3D2","VENT4D2","VENT3GAS","VENT4GAS","VENTCC3GAS","VENTCC4GAS","VENTCC34GAS","VENTCC3GASFD","VENTCC4GASFD","VENTCC34GASFD","RFILO2TG1D2","RFILO2TG2D2","RFILO2TG3D2","INDEPGAS","OLLEROSTG1GAS","LFLORESTG1GAS","SNTV1R500","SNTV2R500","SHCUMMINS","CHILSLZ12R500D2","MOLL123D2","FENIXGT12GAS","FENIXCCGT12GAS","FENIXGT11GAS","FENIXCCGT11GAS","FENIXCCGT11GT12GAS","RECKA TG1  D2","PTOBRVO TG3  D2","PTOBRVO TG1  D2","PTOBRVO TG4  D2","PTOBRVO TG2  D2","FENIXCCGT11GT12D2","CTNEPITG43D2","CTNEPITG42D2","CTNEPITG41D2","RF ETEN TG1  D2","RF ETEN TG2  D2","RF PTO MALDONADO  D2","RF PUCALLPA  D2","CHILCA2 CCOMB TG41  GAS","CHILCA2 TG41  GAS","CHILINA TG  D2","STA ROSA UTI 6  GAS","STA ROSA UTI 5  D2","STA ROSA WEST TG7  D2 CON H2O","STA ROSA UTI 6  D2","STA ROSA UTI 5  GAS","STA ROSA WEST TG7  GAS CON H2O","STA ROSA WEST TG7  GAS","STAROSA TG8 GAS","MALACAS3 TG 5  GAS","OLLEROS CCOMB TG1  GAS","FENIX GT12  D2","FENIX GT11  D2","FENIX CCOMB GT12  D2","FENIX CCOMB GT11  D2","LFLORES CCOMB TG1  GAS","TUMBES MAK 1  D2","TUMBES MAK 2  D2","REFTALARA TV1TV2FXRFG","MAL1TG6D2","MAL1TG6GAS"
1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11268.152,0.000,1520.513,939.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6679.620,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,33405.387,33299.206,33059.381,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2043.945,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11238.735,0.000,1938.995,939.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6668.701,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,33405.387,33299.206,33059.381,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3110.694,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11223.705,0.000,1428.793,939.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6239.489,0.000,0.000,0.000,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,33405.387,33299.206,33059.381,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2955.025,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11223.705,0.000,1073.485,939.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6228.428,0.000,0.000,0.000,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,33405.387,33299.206,33059.381,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2043.945,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11208.471,0.000,2148.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6216.534,0.000,0.000,0.000,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,33135.017,0.000,0.000,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3110.694,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11238.735,0.000,2148.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6208.312,0.000,0.000,0.000,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,31647.983,0.000,0.000,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3110.694,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11253.551,0.000,2148.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6206.211,0.000,0.000,0.000,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,30160.948,0.000,0.000,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3110.694,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11253.551,0.000,2148.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6206.731,0.000,0.000,0.000,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,28673.913,0.000,0.000,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3110.694,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11268.152,0.000,2148.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6208.994,0.000,0.000,0.000,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,27186.879,0.000,0.000,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3110.694,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11934.805,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11296.732,0.000,2148.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6212.870,0.000,0.000,0.000,0.000,0.000,0.000,394.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8044.689,0.000,0.000,0.000,0.000,0.000,0.000,25699.844,0.000,0.000,0.000,0.000,0.000,0.000,1678.701,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3110.694,0.000,4385.865,0.000,4506.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,604.483
