"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,65.30,27.18,66.81,539.13,174.54,7.26,7.61,87.85,18.00,2.08,19.41,103.57,7.18,3.86,107.30,73.11,90.01,25.45,87.85,15.46,6.88,58.35,26.00,6.39,9.00,37.32,3.90,10.25,145.08,0.00,0.00,62.90,42.31,42.31,169.45,126.66,119.43,1.81,67.36,45.00,35.48,40.78,28.49,17.42,0.00,0.00,0.00,20.73,97.08,55.91,112.45,11.81,0.00,14.11,14.03,0.00
2.00,65.30,29.31,66.81,550.51,178.23,7.26,7.61,87.85,18.00,2.08,19.41,113.52,7.18,3.86,107.30,77.75,90.01,0.00,87.85,15.46,6.88,58.35,26.00,6.39,9.00,54.57,3.90,14.23,145.08,0.00,0.00,54.41,54.94,54.56,67.83,192.68,179.85,0.00,67.36,31.09,45.26,44.14,28.49,0.00,0.00,0.00,0.00,20.73,75.63,109.37,121.30,11.81,0.00,14.11,14.03,0.00
3.00,65.30,29.81,66.81,572.03,185.19,7.26,7.61,87.85,18.00,2.08,19.41,122.06,7.18,3.86,107.30,78.43,90.01,0.00,87.85,15.46,6.88,58.35,26.00,6.39,9.00,75.53,3.90,19.05,227.35,0.00,0.00,66.77,0.00,60.87,178.09,152.30,142.25,0.00,67.36,45.00,54.97,42.28,28.49,0.00,0.00,0.00,20.73,20.73,109.73,75.46,125.21,11.81,0.00,14.11,14.03,0.00
4.00,65.30,29.80,66.81,554.74,179.59,7.26,7.61,87.85,18.00,2.08,19.41,119.33,7.18,3.86,107.30,76.89,90.01,0.00,87.85,15.46,6.88,58.35,26.00,6.39,9.00,63.97,3.90,16.39,145.08,145.08,0.00,42.95,59.92,59.45,115.05,174.28,162.12,2.66,0.00,66.67,46.76,42.38,28.49,30.52,0.00,0.00,20.73,20.73,109.73,109.68,124.40,11.81,0.00,19.88,8.26,0.00
5.00,65.30,29.68,66.81,554.22,179.43,7.26,7.61,87.85,18.00,2.08,19.41,119.30,7.18,3.86,107.30,75.06,90.01,0.00,87.85,15.46,6.88,58.35,26.00,6.39,9.00,62.35,3.90,16.02,145.08,145.08,0.00,0.00,67.55,67.00,146.72,155.66,145.22,4.84,0.00,66.66,46.39,43.70,28.49,21.40,21.34,21.34,26.94,20.73,109.73,109.68,124.53,11.81,0.00,14.11,14.03,0.00
6.00,65.30,29.81,66.81,558.67,180.87,7.26,7.61,87.85,18.00,2.08,19.41,118.85,7.18,3.86,107.30,74.50,90.01,0.00,87.85,15.46,6.88,58.35,26.00,6.39,9.00,66.00,3.90,16.86,145.08,145.08,0.00,0.00,52.41,60.87,112.37,176.07,163.80,4.78,0.00,70.24,48.46,43.99,28.49,21.09,21.04,21.04,20.73,0.00,109.73,109.69,124.49,11.81,0.00,20.70,7.44,0.00
7.00,65.30,29.81,66.81,646.94,209.44,7.26,7.61,87.85,18.00,2.08,19.41,125.19,7.18,3.86,107.30,75.35,90.01,13.19,87.85,15.46,6.88,58.35,26.00,6.39,9.00,75.89,3.90,19.13,145.08,145.08,0.00,66.77,35.47,35.47,145.25,0.00,183.34,5.67,0.00,75.00,41.87,43.89,28.49,25.67,25.57,25.56,0.00,30.18,109.73,109.69,126.00,11.81,0.00,14.11,14.03,0.00
8.00,65.30,29.81,66.81,585.27,189.48,7.26,7.61,87.85,18.00,2.08,19.41,133.90,7.18,3.86,107.30,73.93,90.01,18.00,87.85,15.46,6.88,58.35,26.00,6.39,0.00,78.25,3.90,19.68,147.61,147.61,0.00,35.73,35.83,35.83,177.61,172.16,160.15,0.00,0.00,0.00,50.72,41.73,28.49,0.00,0.00,0.00,0.00,86.54,109.73,70.89,123.66,11.81,0.00,14.11,14.03,0.00
9.00,65.30,29.81,66.81,545.44,176.59,7.26,7.61,87.85,18.00,2.08,19.41,119.46,7.18,3.86,107.30,70.44,90.01,8.18,87.85,15.46,6.88,58.35,26.00,6.39,0.00,61.29,3.90,15.77,145.08,145.08,0.00,37.11,37.28,46.69,140.03,155.56,145.13,4.47,0.00,66.55,43.42,42.25,28.49,22.95,22.87,22.87,0.00,34.64,93.26,77.31,116.07,11.81,0.00,14.11,14.03,0.00
10.00,65.30,29.81,66.81,567.64,183.77,7.26,7.61,87.85,18.00,2.08,19.41,119.46,7.18,3.86,107.30,67.67,90.01,10.49,87.85,15.46,6.88,58.35,26.00,6.39,0.00,59.22,3.90,15.29,145.08,145.08,0.00,24.80,24.83,57.76,134.63,154.64,144.31,0.00,0.00,65.02,47.74,42.87,28.49,0.00,0.00,0.00,0.00,33.82,88.28,102.92,110.46,11.81,0.00,19.89,8.25,0.00
