"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","WAYRASOLAR"
1.00,15.98,18.89,16.22,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,12.56,15.53,0.00,3.80,6.40,6.29,23.67,4.50,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,12.73,6.66,36.43,2.15,26.83,3.50,11.53,128.00,14.49,30.44,0.60,3.00,3.50,3.60,1.15,7.32,5.50,4.00,1.80,10.43,7.42,3.80,2.30,16.73,15.15,9.45,1.22,0.42,32.95,40.12,4.59,4.18,92.16,38.75,18.63,0.10,1.22,66.51,222.72,10.63,172.77,12.14,0.40,38.20,83.51,9.16
2.00,14.70,18.69,15.34,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,12.56,15.59,0.00,6.40,6.40,6.88,29.32,3.70,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,12.79,6.87,34.20,2.15,26.57,3.50,11.54,129.00,14.49,30.56,0.60,3.00,3.50,3.60,1.15,12.76,5.50,4.00,1.80,10.43,7.42,3.80,2.30,16.77,15.15,9.45,1.22,0.42,35.15,42.97,4.67,4.14,92.88,37.69,28.84,0.10,1.21,65.02,223.59,10.63,171.16,12.14,0.41,38.28,81.50,9.21
3.00,14.25,18.71,14.66,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,10.55,15.65,0.00,6.50,6.40,7.78,31.68,3.70,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,12.82,7.17,32.52,2.15,26.46,3.50,11.55,129.00,14.49,30.72,0.60,3.00,3.50,3.60,1.15,20.20,5.50,4.00,1.80,10.43,7.42,3.80,2.30,16.08,14.75,9.45,1.22,0.42,36.74,43.81,4.76,4.00,92.88,36.26,38.05,0.00,1.21,62.39,224.75,10.63,167.77,12.14,0.41,38.48,77.57,9.24
4.00,12.12,18.43,13.12,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,10.55,15.73,0.00,6.50,6.40,8.68,34.02,3.70,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,12.88,7.54,30.84,2.15,26.40,3.50,11.54,128.00,14.49,30.85,0.60,3.00,3.50,3.60,1.15,30.64,5.50,4.00,1.80,10.43,7.42,3.80,2.30,15.39,14.36,9.45,1.03,0.42,38.24,44.66,4.75,3.75,92.16,34.84,49.26,0.00,1.22,58.51,225.23,10.63,164.10,12.14,0.41,38.66,73.46,9.32
5.00,11.36,18.52,11.98,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,7.57,15.70,3.10,6.50,6.40,10.51,36.29,3.60,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,12.90,7.81,29.38,2.15,26.26,3.50,11.54,129.00,14.49,30.97,0.60,3.00,3.50,3.60,1.15,42.08,5.50,4.00,1.80,10.43,7.42,3.80,2.30,15.28,14.51,9.45,1.00,0.42,39.34,45.70,4.74,3.61,92.88,33.97,60.47,0.00,1.24,53.28,223.53,10.63,161.35,12.14,0.41,38.83,70.68,9.34
6.00,8.51,18.50,9.80,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,7.57,15.57,3.10,6.50,6.40,12.34,38.56,3.60,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,12.77,8.08,27.93,2.15,26.12,3.50,11.50,131.00,14.49,30.78,0.60,3.00,3.50,3.60,1.15,55.52,5.50,4.00,1.80,10.43,7.42,3.80,2.30,15.17,14.66,9.45,0.93,0.42,40.33,46.74,4.73,3.37,94.32,33.10,72.68,0.00,1.28,46.68,221.18,10.63,155.34,12.14,0.41,38.74,65.43,9.41
7.00,7.46,18.27,8.20,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,3.90,15.11,3.10,6.50,6.40,13.46,39.81,3.60,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,12.29,8.15,25.53,2.15,26.21,3.50,11.49,127.00,14.49,29.43,0.60,3.00,3.50,3.60,1.15,68.96,5.50,4.00,1.80,10.43,7.42,3.80,2.30,15.09,14.49,9.45,0.78,0.42,41.83,48.39,4.82,3.23,91.44,32.20,84.89,0.00,1.34,38.76,214.75,10.63,145.62,12.14,0.38,38.55,58.41,9.60
8.00,4.19,18.30,5.55,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,3.90,14.01,3.10,6.50,6.40,14.57,40.51,3.60,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,11.32,8.38,25.91,2.15,26.35,3.50,11.77,112.00,14.49,24.44,0.60,3.00,3.50,3.60,1.15,81.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,15.26,14.52,9.45,0.57,0.42,43.60,49.80,5.10,3.40,80.64,32.94,96.00,0.00,1.42,28.47,183.38,10.63,124.51,12.14,0.33,36.41,50.55,9.04
9.00,2.94,18.28,3.61,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.45,10.27,3.10,6.50,6.40,13.90,41.37,3.60,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,7.82,8.60,26.90,2.15,26.46,3.50,11.42,86.00,14.49,15.62,0.60,3.00,3.50,3.60,1.15,92.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,15.07,14.29,9.45,0.49,0.42,43.70,50.70,5.10,3.40,61.92,33.65,104.00,0.00,1.53,17.19,111.96,10.63,80.09,12.14,0.25,26.80,32.47,4.80
10.00,1.67,18.35,1.67,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,14.49,0.45,3.60,3.10,6.50,6.40,13.22,42.23,3.60,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,2.67,8.91,27.89,2.15,26.71,3.50,11.42,49.00,14.49,6.81,0.60,3.00,3.50,3.60,1.15,99.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,14.87,14.06,9.45,0.34,0.42,43.90,51.60,5.00,3.40,35.28,34.36,109.00,0.00,1.63,7.21,38.84,10.63,33.65,12.14,0.16,15.68,14.16,1.12
