"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","WAYRASOLAR"
1.00,0.83,18.15,0.51,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,0.00,0.00,0.27,3.10,9.76,6.40,11.85,41.90,6.40,2.30,7.00,5.00,18.36,9.70,3.00,4.50,1.30,0.30,9.11,28.42,2.15,26.99,3.50,11.43,11.00,14.49,1.38,0.60,3.00,3.50,3.60,1.15,102.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,14.42,13.80,9.45,0.12,0.42,43.60,52.60,4.90,3.40,7.92,35.60,108.00,0.00,1.72,1.81,4.77,10.63,6.65,12.14,0.06,4.82,3.39,0.64
2.00,0.00,18.09,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,0.00,0.00,0.00,3.10,10.43,6.40,10.47,41.58,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,9.60,28.96,2.15,27.22,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,101.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,13.96,13.54,9.45,0.06,0.42,43.20,53.60,4.80,3.40,0.00,36.83,101.00,0.00,1.81,0.00,0.00,10.63,0.00,12.14,0.03,0.00,0.00,0.61
3.00,0.00,17.93,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,0.00,0.00,0.00,3.10,10.00,6.40,9.18,41.16,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,10.03,29.12,2.15,27.44,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,96.00,5.50,4.00,1.80,10.43,7.42,3.80,2.30,12.65,12.65,9.45,0.00,0.42,42.80,53.90,4.80,3.30,0.00,38.80,93.00,0.00,1.87,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.13
4.00,0.00,18.00,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,0.00,0.00,0.00,3.10,9.90,6.40,2.29,28.96,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,10.71,37.53,2.15,27.62,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,115.51,5.50,4.00,1.80,10.43,7.42,3.80,2.30,14.46,14.06,9.45,0.00,0.42,14.17,18.09,1.48,1.31,0.00,40.93,94.38,0.00,1.91,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
5.00,0.00,18.10,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,0.00,0.00,0.00,3.10,10.53,6.40,2.20,24.68,8.10,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,10.99,38.63,2.15,27.71,3.50,11.45,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,105.94,5.50,4.00,1.80,10.43,7.42,3.80,2.30,14.46,14.08,9.45,0.00,0.42,15.34,19.41,1.64,1.45,0.00,43.85,84.13,0.00,1.92,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
6.00,0.00,18.04,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,0.00,0.00,0.00,3.10,11.11,6.40,2.10,20.38,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,11.42,39.75,2.15,27.70,3.50,11.45,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,96.37,5.50,4.00,1.80,10.43,7.42,3.80,2.30,14.45,14.11,9.45,0.00,0.42,16.50,20.73,1.71,1.59,0.00,46.77,75.89,0.00,1.90,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,18.09,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,0.00,0.00,0.00,3.10,11.40,6.40,1.92,16.58,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,11.82,40.74,2.15,27.75,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,88.80,5.50,4.00,1.80,10.43,7.42,3.80,2.30,14.21,13.93,9.45,0.00,0.42,18.87,22.46,1.97,1.72,0.00,50.79,68.64,0.00,1.87,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,18.16,0.00,0.00,4.20,7.20,3.30,3.90,1.20,0.00,3.50,0.00,0.00,0.00,3.10,11.40,6.40,1.73,12.77,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,12.15,41.73,2.15,27.85,3.50,11.44,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,81.23,5.50,4.00,1.80,10.43,7.42,3.80,2.30,13.98,13.75,9.45,0.00,0.42,21.14,24.18,2.14,1.86,0.00,54.81,62.39,0.00,1.84,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,18.25,0.00,0.00,4.20,7.20,3.30,3.90,1.30,0.00,3.50,0.00,0.00,0.00,0.00,11.40,6.40,1.66,10.18,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,12.53,43.19,2.15,27.96,3.50,11.43,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,76.66,5.50,4.00,1.80,10.43,7.42,3.80,2.30,13.93,13.77,9.45,0.00,0.42,22.60,25.60,2.40,2.00,0.00,58.05,58.14,0.00,1.80,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,18.30,0.00,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.50,0.00,0.00,0.00,0.00,11.40,6.40,1.58,7.57,8.00,2.30,15.46,5.00,18.36,9.70,3.00,4.50,1.30,0.00,12.76,44.63,2.15,28.04,3.50,11.41,0.00,14.49,0.00,0.60,3.00,3.50,3.60,1.15,75.09,5.50,4.00,1.80,10.43,7.42,3.80,2.30,13.87,13.80,9.45,0.00,0.42,24.07,27.02,2.67,2.24,0.00,61.30,56.89,0.00,1.74,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
