"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,65.54,26.99,44.54,419.81,135.91,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,40.96,71.98,0.00,87.85,0.00,0.00,56.40,26.00,6.39,9.00,7.62,3.90,3.83,145.08,0.00,60.06,20.73,60.39,20.73,174.88,0.00,0.00,1.35,0.00,0.00,31.48,43.67,27.03,10.36,0.00,0.00,20.73,0.00,20.73,62.37,40.78,5.08,15.98,20.55,0.00,4.83
2.00,65.54,26.99,44.54,433.49,140.34,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,36.83,71.98,0.00,87.85,0.00,0.00,56.40,26.00,6.39,9.00,7.62,3.90,3.83,145.08,0.00,28.49,0.00,28.49,28.49,183.28,0.00,0.00,1.35,0.00,0.00,30.81,44.34,27.03,10.36,0.00,0.00,20.73,20.73,0.00,109.69,18.70,5.08,15.98,20.55,0.00,4.83
3.00,65.54,26.99,44.54,541.64,175.36,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,35.78,71.98,0.00,87.85,0.00,0.00,56.40,26.00,6.39,9.00,9.89,3.90,4.36,145.08,0.00,32.36,0.00,32.36,20.73,183.28,0.00,0.00,1.35,0.00,0.00,30.81,44.34,27.03,10.36,0.00,0.00,20.73,20.73,0.00,109.69,16.47,5.08,15.98,20.55,0.00,4.83
4.00,65.54,29.81,44.54,616.24,199.50,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,38.63,71.98,0.00,87.85,0.00,0.00,56.40,26.00,6.39,9.00,26.84,3.90,8.26,0.00,0.00,20.73,0.00,36.35,28.38,183.28,0.00,66.84,1.62,0.00,0.00,47.67,44.77,27.03,0.00,0.00,14.57,20.73,20.73,0.00,109.69,20.06,5.08,15.98,20.55,0.00,4.83
5.00,65.54,29.66,44.54,648.89,210.08,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,42.50,71.98,0.00,87.85,15.41,0.00,56.40,26.00,6.39,9.00,35.28,3.90,10.20,0.00,0.00,20.73,0.00,58.33,20.73,183.28,0.00,79.39,2.70,0.00,0.00,46.62,44.92,27.03,10.36,10.36,10.36,20.73,20.73,0.00,109.69,22.77,5.08,15.98,0.00,20.55,4.83
6.00,65.54,29.81,44.54,655.76,212.30,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,46.80,71.98,0.00,87.85,15.41,0.00,56.40,26.00,6.39,9.00,45.73,3.90,12.61,0.00,0.00,28.37,0.00,60.29,28.37,182.94,0.00,125.62,3.15,0.00,0.00,48.06,44.38,27.03,12.69,12.69,12.69,20.73,20.73,0.00,109.69,26.10,5.08,15.98,20.55,0.00,4.83
7.00,65.54,29.81,44.54,655.76,212.30,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,49.04,71.98,0.00,87.85,15.41,0.00,56.40,26.00,6.39,9.00,63.16,3.90,16.62,0.00,0.00,28.07,0.00,67.55,28.07,164.85,98.38,92.36,2.66,0.00,0.00,53.17,44.08,27.03,30.52,0.00,0.00,20.73,20.73,0.00,109.69,29.32,5.08,15.98,20.55,0.00,4.83
8.00,65.54,29.81,44.54,655.76,212.30,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,49.14,71.98,27.61,87.85,15.41,0.00,56.40,26.00,6.39,9.00,58.49,3.90,15.54,0.00,0.00,36.00,0.00,67.55,36.00,147.89,102.06,96.02,2.66,0.00,0.00,48.46,43.99,27.03,30.52,0.00,0.00,20.73,20.73,0.00,109.69,30.53,5.08,15.98,0.00,20.55,4.83
9.00,65.54,29.81,66.81,655.76,212.30,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,50.66,71.98,29.24,87.85,15.41,0.00,56.40,26.00,6.39,9.00,57.92,3.90,15.41,0.00,0.00,66.41,0.00,66.78,28.63,169.58,180.93,0.00,2.66,0.00,0.00,47.98,44.46,27.03,30.52,0.00,0.00,20.73,20.73,0.00,109.69,34.99,5.08,15.98,20.55,0.00,4.83
10.00,65.54,29.81,66.81,648.85,210.06,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,49.96,71.98,18.00,87.85,15.41,0.00,56.40,26.00,6.39,9.00,50.84,3.90,13.78,145.08,0.00,27.96,0.00,67.55,27.96,150.40,160.62,0.00,2.25,0.00,0.00,46.68,43.96,27.03,24.27,0.00,0.00,0.00,20.73,0.00,109.69,32.25,5.08,15.98,20.55,0.00,4.83
11.00,65.54,29.21,66.81,642.65,208.05,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,47.95,71.98,18.00,87.85,15.41,0.00,56.40,26.00,6.39,9.00,49.68,3.90,13.52,145.08,0.00,26.94,0.00,26.94,67.00,168.30,136.53,0.00,2.09,0.00,0.00,42.39,47.14,27.03,21.74,0.00,0.00,0.00,20.73,0.00,90.96,29.77,5.08,15.98,10.28,10.27,4.83
12.00,65.54,28.14,66.81,636.07,205.92,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,44.46,71.98,4.78,87.85,15.41,0.00,56.40,26.00,6.39,9.00,46.82,3.90,12.86,145.08,0.00,35.20,0.00,64.51,22.23,120.22,170.06,0.00,1.56,0.00,0.00,40.32,42.93,27.03,13.63,0.00,0.00,0.00,37.46,0.00,109.69,26.99,5.08,15.98,10.28,10.27,4.83
13.00,65.54,27.72,66.81,655.76,212.30,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,0.00,103.72,41.50,71.98,5.98,87.85,15.41,0.00,56.40,26.00,6.39,9.00,44.63,3.90,12.35,145.08,0.00,37.08,0.00,37.08,37.08,157.05,0.00,0.00,1.35,0.00,0.00,39.24,40.38,27.03,10.36,0.00,0.00,0.00,20.73,0.00,109.69,24.24,5.08,15.98,10.28,10.27,4.83
14.00,65.54,28.25,66.81,655.76,212.30,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,3.83,103.72,42.43,71.98,5.00,87.85,15.41,0.00,56.40,26.00,6.39,9.00,42.17,3.90,11.79,0.00,145.08,36.13,0.00,36.13,36.13,162.86,0.00,0.00,1.35,0.00,0.00,33.95,44.08,27.03,10.36,0.00,0.00,0.00,20.73,0.00,90.81,26.22,5.08,15.98,20.55,0.00,4.83
15.00,65.54,29.81,66.81,655.76,212.30,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,3.83,103.72,48.31,71.98,18.00,87.85,15.41,0.00,56.40,26.00,6.39,9.00,76.45,3.90,19.68,0.00,145.08,58.16,0.00,58.47,58.01,83.98,0.00,0.00,2.15,0.00,0.00,48.65,48.60,27.03,0.00,22.67,0.00,0.00,20.73,0.00,109.69,39.24,5.08,15.98,10.28,10.27,4.83
16.00,65.54,29.81,66.81,624.87,202.30,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,3.83,103.72,49.06,71.98,0.00,87.85,15.41,0.00,56.40,26.00,6.39,9.00,43.04,3.90,11.99,0.00,145.08,39.69,0.00,39.69,39.69,95.79,0.00,166.50,1.39,0.00,0.00,42.25,50.20,27.03,0.00,10.98,0.00,0.00,34.80,0.00,109.69,29.71,5.08,15.98,20.55,0.00,4.83
17.00,65.54,29.19,66.81,624.63,202.22,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,3.83,103.72,50.79,71.98,0.00,87.85,15.41,6.88,56.40,26.00,6.39,9.00,40.19,3.90,11.33,0.00,145.08,22.98,0.00,42.21,42.21,138.12,0.00,112.30,1.38,0.00,45.00,45.42,43.22,27.03,0.00,10.88,0.00,0.00,32.80,0.00,109.69,32.71,5.08,15.98,0.00,20.55,4.83
18.00,63.89,26.31,64.69,655.76,212.30,6.77,5.65,79.67,17.48,1.72,17.03,49.80,7.13,3.83,103.72,53.48,71.98,0.00,87.85,15.41,6.88,56.40,26.00,6.39,9.00,70.98,3.90,18.42,0.00,0.00,67.18,0.00,26.94,67.00,88.78,0.00,183.34,2.53,0.00,64.31,0.00,66.15,27.03,0.00,28.47,0.00,0.00,30.17,0.00,109.69,46.77,5.08,15.98,0.00,20.55,4.83
