"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","MALPASO","CANON DEL PATO","GALLITO CIEGO","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES","CAHUAG1","CAHUAG2","CHARCATA"
1.00,78.57,29.81,66.81,649.07,210.14,5.13,5.38,87.14,19.10,1.64,36.59,47.56,7.22,3.88,109.40,49.47,90.01,10.41,89.00,15.99,6.88,59.49,26.00,6.39,9.00,43.24,3.95,13.94,0.00,0.00,65.44,65.04,66.31,65.76,101.56,0.00,0.00,1.35,74.55,75.93,66.24,66.15,52.25,10.36,0.00,0.00,20.73,20.73,0.00,99.17,14.05,18.92,2.07,20.00,0.00,4.06
2.00,74.73,29.81,66.81,634.56,205.44,5.13,5.38,87.14,19.10,1.64,36.59,47.56,7.22,3.88,109.40,39.36,90.01,4.15,89.00,15.99,6.88,59.49,26.00,6.39,9.00,25.00,3.95,9.74,0.00,0.00,35.98,35.92,66.92,58.65,94.25,0.00,0.00,1.35,74.55,75.93,66.24,60.00,52.25,10.36,0.00,0.00,20.73,20.73,0.00,100.26,10.36,18.92,2.07,20.00,0.00,4.06
3.00,74.34,29.81,66.81,600.66,194.46,5.13,5.38,87.14,19.10,1.64,36.59,47.56,7.22,3.88,109.40,38.27,90.01,0.00,89.00,15.99,6.88,59.49,26.00,6.39,9.00,25.00,3.95,9.74,0.00,0.00,52.72,0.00,67.51,56.93,125.74,0.00,0.00,1.35,74.55,75.00,66.24,52.17,52.25,10.36,0.00,0.00,20.73,0.00,0.00,56.33,10.36,18.92,2.07,20.00,0.00,4.06
4.00,72.24,29.81,66.81,630.79,204.22,5.13,5.38,87.14,19.10,1.64,36.59,47.56,7.22,3.88,109.40,43.78,90.01,0.00,89.00,15.99,6.88,59.49,26.00,6.39,9.00,25.00,3.95,9.74,0.00,0.00,44.96,0.00,67.32,57.48,66.84,0.00,0.00,1.35,74.55,75.93,66.24,60.00,52.25,0.00,0.00,10.36,20.73,38.19,0.00,109.69,10.36,18.92,2.07,20.00,0.00,4.06
5.00,78.57,29.81,66.81,649.07,210.14,5.13,5.38,87.14,19.10,1.64,36.59,47.56,7.22,3.88,109.40,50.73,90.01,0.00,89.00,15.99,6.88,59.49,26.00,6.39,9.00,25.00,3.95,9.74,145.08,0.00,0.00,0.00,58.86,58.39,119.90,0.00,0.00,1.35,74.55,75.93,66.24,60.00,52.25,0.00,0.00,10.36,20.73,20.73,20.73,81.70,25.94,18.92,2.07,20.00,0.00,4.06
6.00,78.57,29.81,66.81,649.07,210.14,5.13,5.38,87.14,19.10,1.64,36.59,47.56,7.22,3.88,109.40,57.38,90.01,18.00,89.00,15.99,6.88,59.49,26.00,6.39,9.00,25.00,3.95,9.74,145.08,0.00,0.00,0.00,67.55,35.07,114.93,0.00,0.00,1.35,74.55,75.93,66.24,66.15,52.25,0.00,0.00,10.43,0.00,21.37,108.59,109.29,43.54,18.92,2.07,20.00,0.00,4.06
7.00,78.57,29.81,66.81,649.07,210.14,5.13,5.38,87.14,19.10,1.64,36.59,47.56,7.22,3.88,109.40,62.20,90.01,19.32,89.00,15.99,6.88,59.49,26.00,6.39,9.00,25.00,3.95,9.74,145.08,0.00,0.00,0.00,67.55,34.75,151.82,0.00,0.00,1.55,74.55,75.93,66.24,66.15,52.25,0.00,0.00,13.46,20.73,20.73,109.73,109.69,55.95,18.92,2.07,10.01,9.99,4.06
8.00,78.57,29.81,66.81,649.07,210.14,5.13,5.38,87.14,19.10,1.64,36.59,47.56,7.22,3.88,109.40,64.81,90.01,30.56,89.00,15.99,6.88,59.49,26.00,6.39,9.00,39.19,3.95,13.00,145.08,0.00,0.00,65.98,66.84,26.94,159.63,0.00,0.00,3.79,74.55,75.93,66.24,66.15,52.25,15.96,15.95,15.95,20.73,20.73,109.73,109.69,71.32,18.92,2.07,20.00,0.00,4.06
9.00,78.57,29.81,66.81,649.07,210.14,5.13,5.38,87.14,19.10,1.64,36.59,92.81,7.22,3.88,109.40,68.61,90.01,37.68,89.00,15.99,6.88,59.49,26.00,6.39,9.00,60.21,3.95,17.84,145.08,0.00,51.43,51.15,67.55,26.94,117.13,0.00,0.00,2.65,74.55,75.93,66.24,66.15,52.25,0.00,30.41,0.00,69.02,20.73,109.73,109.69,89.10,18.92,2.07,0.00,20.00,4.06
10.00,78.57,29.81,66.81,649.07,210.14,5.13,5.38,87.14,19.10,1.64,36.59,93.50,7.22,3.88,109.40,68.38,90.01,31.50,89.00,15.99,6.88,59.49,26.00,6.39,9.98,25.00,3.95,9.74,0.00,145.08,0.00,63.50,30.05,30.05,174.88,163.33,0.00,1.06,74.55,75.93,66.24,66.15,52.25,0.00,0.00,0.00,24.86,24.86,108.79,109.69,88.96,18.92,2.07,0.00,20.00,4.06
