"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,0.00,17.97,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,21.00,37.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,12.56,40.60,0.00,27.80,3.20,10.83,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,54.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.46,14.11,9.50,0.00,0.37,35.81,42.75,5.27,1.93,0.00,56.63,0.00,0.00,1.68,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
2.00,0.00,17.87,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,21.00,37.00,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,11.33,34.90,0.00,27.90,3.20,10.83,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,49.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.58,14.31,9.50,0.00,0.37,36.02,37.52,4.64,1.69,0.00,53.61,0.00,0.00,1.65,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
3.00,0.00,17.92,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,17.00,37.00,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.00,10.66,31.00,0.00,28.00,3.20,10.83,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,44.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.38,14.01,9.50,0.00,0.37,38.49,40.34,4.48,1.58,0.00,50.15,0.00,0.00,1.63,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
4.00,0.00,17.80,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,17.00,37.00,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.00,9.85,27.00,0.00,27.90,3.20,10.83,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,39.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.72,14.19,9.50,0.00,0.37,43.80,38.38,5.86,1.45,0.00,49.34,0.00,0.00,1.60,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
5.00,0.00,18.02,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,13.00,32.00,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.00,9.84,25.10,0.00,27.90,3.20,10.82,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,33.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.26,13.88,9.50,0.00,0.37,46.26,38.21,6.41,1.22,0.00,51.56,0.00,0.00,1.59,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
6.00,0.00,18.78,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,13.00,32.00,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.00,9.38,23.10,0.00,28.00,3.20,10.81,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,25.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.27,13.82,9.50,0.00,0.37,41.36,34.66,6.10,1.04,0.00,52.13,0.00,0.00,1.57,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,19.02,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,13.00,32.00,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.00,8.73,20.70,0.00,28.00,3.20,10.82,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,20.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.24,13.57,9.50,0.00,0.37,45.48,37.60,4.82,1.04,0.00,49.35,0.00,0.00,1.55,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,19.07,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,13.00,32.00,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.00,8.61,18.30,0.00,28.00,3.20,10.82,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,20.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.15,13.71,9.50,0.00,0.37,42.90,34.44,5.27,1.03,0.00,46.62,0.00,0.00,1.52,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,19.02,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,13.00,25.00,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.00,9.01,17.90,0.00,28.10,3.20,10.84,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,19.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.34,14.03,9.50,0.00,0.37,36.03,38.05,3.79,1.16,0.00,46.04,0.00,0.10,1.51,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,19.39,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,13.00,25.00,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.00,8.72,17.60,0.00,28.20,3.20,10.82,0.00,14.49,0.00,0.60,8.00,8.00,8.00,2.30,18.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,14.83,14.71,9.50,0.00,0.37,36.55,39.23,3.91,1.35,0.00,47.01,0.00,0.20,1.50,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.11
