"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,0.00,19.97,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,0.00,10.05,7.40,25.13,47.92,12.17,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,1.16,0.70,0.00,27.40,3.50,11.27,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,43.29,4.60,5.00,1.80,10.43,7.69,3.70,2.30,13.21,12.24,9.50,0.00,0.62,2.89,3.98,0.21,0.00,0.00,3.35,41.69,0.00,1.34,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.18
2.00,0.00,19.96,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,0.00,9.86,7.40,23.46,49.36,12.51,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,1.51,1.10,0.00,27.70,3.50,11.26,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,36.95,4.60,5.00,1.80,10.43,7.69,3.70,2.30,13.95,12.97,9.50,0.00,0.62,4.45,6.11,0.15,0.00,0.00,5.15,37.06,0.00,1.38,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
3.00,0.00,19.61,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,0.00,10.05,7.40,23.09,50.80,11.85,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,1.84,1.51,0.00,27.90,3.50,11.24,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,31.13,4.60,5.00,1.80,10.43,7.69,3.70,2.30,12.68,12.18,11.00,0.00,0.62,5.89,8.06,0.30,0.00,0.00,6.81,32.77,0.00,1.42,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
4.00,0.00,20.11,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,0.00,10.82,7.40,22.71,52.05,7.97,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,2.09,1.86,0.00,28.00,3.50,11.21,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,26.81,4.60,5.00,1.80,10.43,7.69,3.70,2.30,11.43,11.41,18.93,0.00,0.61,6.94,9.50,0.34,0.00,0.00,8.02,29.52,0.00,1.44,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
5.00,0.00,20.14,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,3.10,11.40,7.40,22.84,52.89,7.96,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,2.11,2.11,0.00,28.00,3.50,11.21,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,24.81,4.60,5.00,1.80,10.43,7.69,3.70,2.30,11.87,11.82,18.95,0.00,0.61,6.93,9.80,0.49,0.00,0.00,8.29,27.41,0.00,1.44,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
6.00,0.00,20.31,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,3.10,11.30,7.40,22.96,51.85,7.95,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,2.17,2.10,0.00,28.10,3.50,11.20,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,20.40,4.60,5.00,1.80,10.43,7.69,3.70,2.30,12.31,12.24,18.95,0.00,0.61,6.91,10.45,0.64,0.00,0.00,8.88,22.76,0.00,1.43,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,20.38,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,3.10,11.30,7.40,22.80,49.57,7.93,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,2.23,2.06,0.00,28.10,3.50,11.21,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,16.00,4.60,5.00,1.80,10.43,7.69,3.70,2.30,12.25,11.96,18.95,0.00,0.61,6.89,11.10,0.68,0.00,0.00,9.46,18.11,0.00,1.42,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,20.19,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,3.10,11.30,7.40,22.72,47.29,7.89,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,2.25,2.02,0.00,28.10,3.50,11.22,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,14.00,4.60,5.00,1.80,10.43,7.69,3.70,2.30,12.08,11.68,18.95,0.00,0.61,6.88,11.40,0.83,0.00,0.00,9.73,16.00,0.00,1.40,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,20.38,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,3.10,11.21,7.40,22.79,48.69,7.61,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,2.25,2.00,0.00,28.20,3.50,11.20,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,11.00,4.60,5.00,1.80,10.43,7.69,3.70,2.30,11.52,11.25,18.95,0.00,0.61,6.70,11.37,0.77,0.00,0.00,10.13,13.00,0.00,1.38,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,20.32,0.00,13.53,4.50,7.50,3.30,6.30,1.50,0.00,3.50,14.49,0.00,0.00,3.10,11.21,7.40,22.89,45.37,0.00,5.30,15.46,2.50,17.20,9.90,3.00,4.50,3.00,0.00,2.24,1.96,0.00,28.20,3.50,11.20,0.00,14.49,0.00,0.60,4.00,4.50,4.60,2.30,9.00,4.60,5.00,1.80,10.43,7.69,3.70,2.30,10.86,10.93,18.95,0.00,0.61,6.51,11.35,0.71,0.00,0.00,10.53,11.00,0.00,1.36,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
