"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,8.74,21.00,9.21,15.94,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,7.47,2.89,0.00,2.60,7.20,28.52,0.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,1.54,8.10,13.45,2.30,28.20,3.30,11.59,68.30,15.46,29.99,0.60,4.50,5.00,5.20,1.15,40.19,4.50,4.00,1.50,10.00,8.38,3.80,1.15,15.92,14.44,9.50,0.58,0.53,22.73,42.27,3.06,2.57,64.80,23.82,49.50,0.40,1.12,43.93,75.50,5.00,31.83,12.14,0.20,45.88,14.98,11.73
2.00,11.60,21.00,11.42,16.62,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,8.28,4.01,0.00,2.60,7.20,28.48,0.00,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,2.50,8.73,14.40,2.30,28.00,3.30,11.59,57.20,15.46,30.81,0.60,4.50,5.00,5.20,1.15,44.35,4.50,4.00,1.50,10.00,8.38,3.80,1.15,16.78,14.88,9.50,0.79,0.54,24.86,47.38,3.43,2.83,65.20,27.12,55.10,0.40,1.11,52.93,61.20,5.00,33.08,12.14,0.26,50.04,15.57,11.96
3.00,12.32,20.90,12.34,16.23,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,9.52,5.27,0.00,2.60,7.20,29.44,21.70,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,3.42,9.49,15.16,2.30,27.90,3.30,11.59,64.60,15.46,30.81,0.60,4.50,5.00,5.20,1.15,49.51,4.50,4.00,1.50,10.00,8.38,3.80,1.15,17.60,15.29,9.50,0.98,0.54,29.15,52.38,4.24,3.25,57.80,30.07,60.71,0.30,1.11,60.20,68.70,5.00,29.88,12.14,0.32,50.73,14.06,12.49
4.00,14.38,20.52,14.07,15.75,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,10.21,5.87,0.00,2.60,7.20,29.40,22.60,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,4.16,9.85,15.82,2.30,27.80,3.30,11.59,62.10,15.46,30.64,0.60,4.50,5.00,5.20,1.15,54.66,4.50,4.00,1.50,10.00,8.38,3.80,1.15,17.98,15.24,9.50,1.10,0.54,31.98,54.43,4.67,3.51,61.00,33.31,65.32,0.20,1.10,65.98,91.90,5.00,44.68,12.14,0.35,50.74,21.02,12.61
5.00,14.94,20.40,14.90,15.85,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,11.78,7.34,0.00,2.60,7.20,29.36,50.49,1.65,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,5.55,10.04,17.28,2.30,27.60,3.30,11.59,57.90,15.46,30.60,0.60,4.50,5.00,5.20,1.15,57.82,4.50,4.00,1.50,10.00,8.38,3.80,1.15,18.29,15.48,9.50,1.19,0.53,34.77,54.36,5.10,3.74,60.40,34.57,68.93,0.20,1.10,70.79,112.20,5.00,61.21,12.14,0.38,50.38,28.81,12.57
6.00,16.15,20.56,15.91,14.69,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,11.45,9.54,0.00,2.60,7.20,29.32,51.39,3.55,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,6.79,10.28,18.84,2.30,27.30,3.30,11.59,66.90,15.46,30.66,0.60,4.50,5.00,5.20,1.15,58.98,4.50,4.00,1.50,10.00,8.38,3.80,1.15,18.26,15.64,9.50,1.22,0.53,34.76,54.38,5.37,3.86,64.00,35.17,69.54,0.10,1.09,74.55,127.10,5.00,68.46,12.14,0.38,50.49,32.22,12.56
7.00,16.36,20.02,16.28,15.36,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,11.36,10.77,0.00,2.60,7.20,30.28,52.28,3.62,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,7.52,10.36,20.90,2.30,27.10,3.30,11.59,72.50,15.46,30.62,0.60,4.50,5.00,5.20,1.15,60.13,4.50,4.00,1.50,10.00,8.38,3.80,1.15,18.24,15.56,9.50,1.21,0.54,37.86,56.48,5.64,3.91,74.80,37.09,71.15,0.10,1.08,77.12,132.50,5.00,70.65,12.14,0.39,50.52,33.25,12.57
8.00,16.58,19.84,16.49,15.85,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,11.92,11.32,0.00,2.60,7.20,30.24,53.17,3.62,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,7.56,10.78,23.05,2.30,26.90,3.30,11.59,83.80,15.46,30.57,0.60,4.50,5.00,5.20,1.15,61.29,4.50,4.00,1.50,10.00,8.38,3.80,1.15,17.90,15.41,9.50,1.23,0.54,39.13,57.51,5.70,4.16,78.40,39.17,72.75,0.10,1.07,78.10,135.70,5.00,72.09,12.14,0.40,50.54,33.92,12.68
9.00,16.42,19.89,16.30,16.14,4.50,7.80,3.30,6.10,1.80,0.00,2.70,15.46,12.38,11.53,3.10,5.20,7.20,30.86,54.07,3.61,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,6.72,11.27,25.51,2.30,26.80,3.30,11.59,83.80,15.46,30.58,0.60,4.50,5.00,5.20,1.15,64.45,4.50,4.00,1.50,10.00,8.38,3.80,1.15,18.01,15.16,9.50,1.22,0.54,38.84,58.63,6.01,4.32,79.10,40.72,76.36,0.10,1.07,77.70,137.10,5.00,73.11,12.14,0.41,50.68,34.40,12.78
10.00,15.74,19.91,15.73,16.14,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,11.73,10.52,3.10,5.10,7.20,30.86,54.96,0.62,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,5.54,11.38,28.07,2.30,26.60,3.30,11.59,83.10,15.46,29.40,0.60,4.50,5.00,5.20,1.15,68.60,4.50,4.00,1.50,10.00,8.38,3.80,1.15,18.22,15.25,9.50,1.22,0.53,41.05,59.39,6.54,4.71,83.90,40.92,79.97,0.10,1.06,75.95,137.60,5.00,73.85,12.14,0.41,50.97,34.75,12.85
