"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,5.19,19.79,4.42,13.53,4.50,7.60,3.30,6.10,1.50,0.00,2.70,15.46,2.28,13.16,0.00,5.10,7.40,30.00,74.70,0.00,5.40,6.00,5.00,18.55,9.90,3.00,4.50,3.00,9.86,25.06,71.40,2.30,27.37,3.30,11.59,87.00,15.46,15.70,0.60,15.00,15.00,16.00,1.15,125.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,15.07,13.30,9.50,0.49,0.10,77.53,97.22,14.54,10.15,62.64,95.54,154.00,0.00,1.06,21.45,183.01,5.00,96.96,12.14,0.26,34.37,45.82,6.70
2.00,1.78,19.61,1.74,13.53,4.50,7.60,3.30,6.10,1.50,0.00,2.70,15.46,0.65,8.98,0.00,5.00,7.40,30.00,73.80,0.00,5.40,6.00,5.00,18.55,9.90,3.00,4.50,3.00,3.82,25.06,71.40,2.30,27.47,3.30,11.59,49.00,15.46,6.84,0.60,15.00,15.00,16.00,1.15,126.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,14.89,13.31,9.50,0.34,0.58,76.28,98.41,14.20,9.98,35.28,95.14,154.00,0.00,1.14,9.56,107.31,5.00,40.86,12.14,0.16,17.24,19.03,1.57
3.00,0.97,19.59,0.66,13.53,4.50,7.60,3.30,6.10,1.90,0.00,2.70,15.46,0.05,2.24,0.00,10.72,7.40,30.00,71.70,0.00,5.40,6.00,5.00,18.55,9.90,3.00,4.50,3.00,0.68,25.08,70.97,2.30,27.58,3.30,11.59,13.00,15.46,1.30,0.60,15.00,15.00,16.00,1.15,126.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,14.44,13.02,9.50,0.12,0.61,76.07,99.10,14.65,10.04,9.36,94.27,152.00,0.00,1.22,2.53,30.67,5.00,8.60,12.14,0.06,4.61,4.22,0.89
4.00,0.00,19.52,0.00,13.53,4.50,7.60,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.04,0.00,10.14,7.40,30.00,69.70,0.00,5.40,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.04,24.74,70.29,2.30,27.78,3.30,11.59,0.00,15.46,0.00,0.60,15.00,15.00,16.00,1.15,126.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,14.20,12.78,9.50,0.06,0.61,76.42,97.49,14.47,10.07,0.00,93.02,150.00,0.00,1.26,0.00,1.82,5.00,0.00,12.14,0.03,0.00,0.00,0.86
5.00,0.00,19.66,0.00,13.53,4.50,7.60,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,10.00,7.40,30.00,66.50,6.50,5.40,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,24.55,69.26,2.30,27.89,3.30,11.59,0.00,15.46,0.00,0.60,15.00,15.00,16.00,1.15,126.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,14.39,13.08,9.50,0.00,0.64,72.89,97.40,14.21,9.86,0.00,92.56,148.00,0.00,1.30,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.18
6.00,0.00,19.75,0.00,13.53,4.50,7.60,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,9.70,7.40,30.00,63.20,7.70,5.40,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,24.25,68.73,2.30,28.02,3.30,11.59,0.00,15.46,0.00,0.60,15.00,15.00,16.00,1.15,126.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,13.96,12.90,9.50,0.00,0.65,71.12,95.88,13.78,9.06,0.00,92.18,145.00,0.00,1.33,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
7.00,0.00,19.98,0.00,13.53,4.50,7.60,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,3.10,9.76,7.40,30.00,61.70,7.70,5.40,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,24.17,68.63,2.30,28.07,3.30,11.59,0.00,15.46,0.00,0.60,15.00,15.00,16.00,1.15,125.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,13.00,12.56,9.50,0.00,0.67,69.22,96.61,13.11,9.08,0.00,91.60,142.00,0.00,1.38,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
8.00,0.00,20.13,0.00,13.53,4.50,7.60,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,3.10,10.34,7.40,30.00,60.10,7.70,5.40,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,24.00,68.28,2.30,28.16,3.30,11.59,0.00,15.46,0.00,0.60,15.00,15.00,16.00,1.15,124.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,12.76,12.67,9.50,0.00,0.69,71.55,96.53,13.10,9.06,0.00,90.89,141.00,0.00,1.44,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
9.00,0.00,20.14,0.00,13.53,4.50,7.60,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,3.10,10.92,7.40,29.00,57.40,7.70,5.40,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,24.21,68.51,2.30,28.33,3.30,11.59,0.00,15.46,0.00,0.60,15.00,15.00,16.00,1.15,122.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,12.66,12.58,9.50,0.00,0.70,67.73,93.85,12.60,8.66,0.00,91.17,139.00,0.00,1.47,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
10.00,0.00,20.26,0.00,13.53,4.50,7.60,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,3.10,11.11,7.40,29.00,54.60,7.70,5.40,15.46,5.00,18.55,9.90,3.00,4.50,3.00,0.00,24.18,68.50,2.30,28.36,3.30,11.59,0.00,15.46,0.00,0.60,15.00,15.00,16.00,1.15,120.00,4.60,4.00,1.50,10.43,8.33,3.90,2.30,12.53,12.36,9.50,0.00,0.73,65.52,92.21,12.49,8.62,0.00,90.64,136.00,0.00,1.48,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
